,TIME_CONTRAL_A,TIME_CONTRAL_B,STEPS,TERMINATION,GAME_LENGTH,GAME_TYPE
479,600.0,0.0,24,1,316.0,1
480,30.0,0.0,23,1,25.0,3
481,60.0,0.0,27,0,60.0,3
482,30.0,0.0,23,0,17.0,3
483,300.0,3.0,36,0,296.0,2
484,600.0,0.0,25,1,451.0,1
485,180.0,0.0,33,1,163.0,2
486,300.0,0.0,37,0,288.0,2
487,60.0,0.0,39,0,30.0,3
488,600.0,0.0,28,1,528.0,1
489,60.0,0.0,27,1,45.0,3
490,60.0,0.0,31,0,47.0,3
491,300.0,0.0,26,1,295.0,2
492,180.0,0.0,27,0,133.0,2
493,600.0,0.0,28,1,512.0,1
494,900.0,10.0,52,1,159.0,1
495,300.0,3.0,30,1,232.0,2
496,60.0,0.0,22,0,59.0,3
497,60.0,1.0,27,0,40.0,3
498,300.0,0.0,27,1,223.0,2
499,0.0,1.0,26,1,3.0,3
500,600.0,0.0,16,1,126.0,1
501,120.0,0.0,35,0,117.0,3
502,300.0,2.0,47,0,254.0,2
503,720.0,10.0,25,1,182.0,1
504,600.0,0.0,23,1,175.0,1
505,900.0,8.0,39,1,543.0,1
506,180.0,0.0,22,1,104.0,2
507,1200.0,0.0,35,1,359.0,1
508,900.0,15.0,27,1,136.0,1
509,900.0,15.0,51,1,500.0,1
510,300.0,3.0,20,1,153.0,2
511,300.0,3.0,20,1,139.0,2
512,60.0,0.0,25,1,39.0,3
513,30.0,0.0,27,0,16.0,3
514,300.0,0.0,24,1,254.0,2
515,300.0,0.0,39,0,154.0,2
516,60.0,0.0,23,1,43.0,3
517,2700.0,0.0,15,1,113.0,1
518,300.0,2.0,35,0,165.0,2
519,1020.0,0.0,12,1,122.0,1
520,60.0,0.0,26,1,28.0,3
521,600.0,0.0,30,1,137.0,1
522,60.0,0.0,29,0,53.0,3
523,300.0,0.0,29,1,220.0,2
524,300.0,0.0,22,1,116.0,2
525,60.0,0.0,34,0,59.0,3
526,300.0,0.0,28,0,173.0,2
527,420.0,3.0,35,1,198.0,1
528,300.0,3.0,24,1,175.0,2
529,900.0,10.0,33,0,425.0,1
530,600.0,0.0,25,1,495.0,1
531,60.0,0.0,24,1,48.0,3
532,60.0,0.0,25,0,56.0,3
533,900.0,15.0,36,1,128.0,1
534,3600.0,0.0,23,1,557.0,1
535,300.0,0.0,16,1,118.0,2
536,60.0,0.0,35,1,50.0,3
537,60.0,0.0,36,0,50.0,3
538,360.0,0.0,23,1,147.0,2
539,0.0,4.0,24,1,1.0,3
540,60.0,0.0,22,0,40.0,3
